label,text
ham,Dime algo. Esta bien.
ham,De acuerdo
ham,Mmm. ¿Traigo una botella de vino para entretenernos? ¡Solo bromeaba! Todavía traeré una botella. ¿Rojo o blanco? Nos vemos mañana
ham,Esta es tu prueba facial (1 2 3 4 5 6 7 8 9 <#>). Selecciona cualquier número. Le diré a tu astrología facial... Estoy esperando. Respuesta rápida...
ham,"Oye, iouri me dio tu número, soy Wylie, la amiga de Ryan."
ham,"Sí, sigue el programa. Estás holgazaneando."
ham,Estoy en la oficina interna... todavía llenando formularios. No sé cuándo me dejan.
ham,"Creo que tu mentor sí lo es, pero no estoy 100 por ciento seguro."
spam,Llama al 09095350301 y envía conocer y alguien especial para ti te mandara mensaje. Para detener los mensajes de texto llame al 08712460324 (tarifa nat)
spam,Cámara: ¡recibes una cámara digital SiPix! llamar al 09061221066 desde teléfono fijo. Entrega en 28 días.
spam,¡TE ESTÁ ESPERANDO UNA RECOMPENSA DE NAVIDAD DE $400! Nuestra computadora lo ha seleccionado al azar entre nuestros leales clientes de telefonía móvil para recibir una recompensa de £400. Solo llama al 09066380611
ham,Sólo estoy tratando de averiguar cuándo se supone que veré a un par de personas diferentes esta semana. Dijimos que nos juntaríamos pero no puse fechas
spam,MENSAJE IMPORTANTE. Este es un último intento de contacto. Tiene mensajes importantes esperando en nuestro departamento de reclamos de clientes. Vence el 13/4/24. ¡Llame 08717507382 YA!
ham,"Hola mamá, es posible que volvamos más tarde de <#>"
spam,Fechado: he tenido dos de estos. Sólo comencé después de que envié un mensaje de texto para hablar de radio deportiva la semana pasada. ¿Crees que alguna conexión o coincidencia?
ham,"Jajaja, ¿tienes un amigo para el perro?"
ham,"Ok, ¿hay algún problema para comunicarle? ¿Qué importa?"
ham,"K. Saldré en unos minutos, nos vemos allí."
ham,"¿Sabes qué es la AMISTAD rael? Te estoy dando un ejemplo: Sólo ese mensaje.. Todo el texto de este mensaje está mal.. Por cierto, puedes leerlo sin ningún error.. BUENAS NOCHES y amigos. QUE TENGAS UN BUEN DORMIR..DULCES SUEÑOS.."
ham,No puedo contestar el teléfono en este momento. Por favor envía un mensaje
ham,No quiero que te vayas. Pero apenas estoy haciendo lo que puedo para mantenerme cuerdo. Pelear contigo constantemente no ayuda.
spam,"La oferta líder actual es 151. Para pausar esta subasta, envíe FUERA. Atención al cliente: 08718726270"
spam,"Entrada gratuita al concurso semanal de gr8prizes 4. Una oportunidad de ganar el último iphone 15, PSP o $2500 en efectivo cada semana. TXT GREAT al 80878 http//www.gr8prizes.com 08715705022"
ham,Alguien creó un sitio web donde puedes jugar Holdem usando eve online spacebucks
ham,Hace sol en California. El clima es simplemente fresco
spam,Tienes 1 mensaje nuevo. Llama al 0207-083-6089
ham,"Puedo llegar hasta allí, apretado <#> dinero de mi padre"
ham,Buenos días para ti también. Ora por mí. Quítate los dientes porque es doloroso mantener otras cosas.
ham,¿Cómo están nenas? Espero que estés bien. Dormí una mierda por la noche. Me quedé dormido a las 5. Estoy hecho polvo y temo trabajar esta noche. ¿Qué estás haciendo esta noche? X
ham,¿Cómo nos ayudan los amigos en los problemas? Dan la sugerencia más estúpida que nos mete en otro problema y nos ayuda a olvidar el problema anterior.
ham,Estoy en el trabajo. Por favor llama
ham,Lo que dije antes de contarlo. Estúpido escuchar después de que no te diré nada. Tu papá llamó a mi hermano y habló. No conmigo.
ham,El amor de Dios no tiene límite. La gracia de Dios no tiene medida. El poder de Dios no tiene fronteras. Que tengas las infinitas bendiciones de Dios siempre en tu vida...!! Dios ni8
ham,Quiero estar dentro de ti todas las noches...
ham,"Machan, mañana irás al gimnasio. Yo llegaré tarde, buenas noches."
ham,"Jajaja, al principio estaban enojados pero luego se despertaron y cedieron."
ham,Fui al centro de proyectos
ham,Es reconfortante en este mundo loco.
ham,¿Solo estás preparando la cena?
ham,"Sí. Por favor, salga en <#> . De modo que en <#> podemos irnos"
ham,Oh... Okie lor...Seguimos el sábado...
ham,"Eres un gran modelo a seguir. Estás dando mucho y realmente deseo cada día un milagro, pero Dios es la razón de todo y debo decir que desearía saber por qué, pero no lo sé. Te he admirado desde que era joven y todavía lo hago. Qué tengas un lindo día."
ham,"Sí, me refiero al ex de Mei, wat... No, ah, esperando que te traten, alguien debería ser rico liao... Entonces, Dios mío, no tienes que trabajar desde tmr en adelante..."
ham,"Miles y sonrisas están hechos de las mismas letras, pero ¿sabes la diferencia? La sonrisa en tu cara me mantiene feliz a pesar de que estoy a kilómetros de ti... :-)Sigue sonriendo... Buenas noches."
ham,"Por cierto, puse un salto justo afuera del frente de la casa para que puedas ver qué casa es. Simplemente deténgase ante él."
ham,¿Puede enviarme el nombre de esa empresa? En colany saibaba
ham,"No, no quiero escuchar nada."
ham,Eres un gran chic. Común. Declarar
ham,Eso es genial. Quiero complacerte...
ham,Me uniré mañana.
spam,¡Se le premia con una cámara digital SiPix! llamar al 09061221061 desde teléfono fijo. Entrega en 28 días. Caja T Cs177. M221BP. Garantía de 2 años. 150 ppm.
ham,Quiero decirte lo mal que me siento porque básicamente las únicas veces que te envío mensajes de texto últimamente son cuando necesito drogas.
spam,¡PRIVADO! Su estado de cuenta de 2003 muestra 800 puntos SIM no canjeados. Llamar 08718738001 Código Identificador: 49557 Vence el 26/11/04
ham,"Decepción total, cuando te envié un mensaje de texto fue lo más loco que me puse :("
ham,Es sólo el efecto de la irritación. Simplemente ignóralo
ham,¿Qué pasa con este entonces?
ham,"Creo que esa rabieta terminó, así que sí, estaré en algún momento."
ham,Felicitaciones para ti. Estaba alejado del sistema. Cómo tu lado.
ham,sucedió aquí mientras estabas de aventuras
ham,"Hola jefe, ¿puede avisarme cuando reciba esto? Necesito hablar contigo sobre esta visita real el 1 de junio."
ham,Ok cual eres otro numero
ham,"Sé que estás pensando en malaria. Pero relájate, los niños no pueden soportar la malaria. Ella habría sido peor y su gastroenteritis. Si toma lo suficiente para reponer la pérdida, su temperatura se reducirá. Y si le das medicamentos contra la malaria ahora simplemente vomitará. Tiene una enfermedad autolimitada, lo que significa que en unos días desaparecerá por completo."
ham,"Aiyah, está bien, siempre y cuando hayamos mejorado, ya puedo esperar..."
spam,Envia CITA al 3112092020 y recibirias un mensaje inesperado de tu crush secreto
ham,"No puedo creer lo apegado que estoy a verte todos los días. Sé que harás lo mejor que puedas para llegar a mí, nena. Iré a dar mi clase a tu medianoche."
ham,Sólo dormir... y surfear
spam,PREGUNTE A 3MOBILE SI LAS LÍNEAS DE CHAT 0870 INCLUYEN EN MINUTOS GRATIS. ESTA OFERTA VENCE EN 30 DÍAS
ham,"Sí, es un rito..."
ham,Armand dice que lleves tu trasero a Epsilon.
ham,"¿Todavía no tienes una chaqueta, ah?"
ham,"Me llevaré a Derek & Taylor a Walmart, si no he vuelto cuando hayas terminado, deja el ratón en mi escritorio y te enviaré un mensaje de texto cuando Priscilla esté lista."
ham,"Hola, está en Durban. ¿Sigues en este número?"
ham,IC. Entonces hay muchos coches de pornografía infantil.
spam,"¿Tenías tu contrato móvil de 11 meses? ¡Lo último de Motorola, Nokia, etc., todo GRATIS! Doble Minutos y Textos en tarifas Orange. ENVÍA UN MENSAJE SÍ para devolver la llamada, no para eliminarlo de los registros."
ham,"No, estuve intentándolo todo el fin de semana ;V"
ham,"Ya sabes, lo que usa la gente. Camisetas, jerseys, gorros, cinturones, es todo lo que sabemos. Estamos en Cribbs"
ham,"Genial, ¿a qué hora crees que puedes llegar?"
ham,"Wen, ¿te volviste tan espiritual y profundo? Genial"
ham,Que tengas un buen viaje a Nigeria. Les deseo felicidad y muy pronto compañía para compartir momentos con
ham,Jajaja..usa tu cerebro querida
ham,"Bueno, ten en cuenta que solo tengo suficiente gasolina para un viaje de ida y vuelta más, salvo una repentina afluencia de efectivo."
ham,"Sí. Los indios eran agradables. Aunque me desanimó un poco, je, je. Deberíamos salir a tomar una copa pronto. Mite tiene 2 ir 2 da trabaja 4 una risa pronto. Amo a Pete xx"
ham,Sí tengo. Por eso enviaste mensajes de texto. Pshew...te extraño mucho
ham,No. Quise decir que el cálculo es el mismo. Ese <#> unidades en <#> . Esta escuela es realmente cara. ¿Has empezado a practicar tu acento? Porque es importante. ¿Y ha decidido si va a cursar 4 años de la escuela de odontología o si simplemente hará el examen nmde?
ham,"Lo siento, llamaré más tarde"
ham,si no estás aquí en la próxima <#> horas voy a voltear mi mierda
ham,Cualquier cosa. Juz nosotros dos lor.
ham,Sácame de este basurero. Mi mamá decidió venir a lowes. ABURRIDO.
ham,"Ok, señor... Vendedor de Sony Ericsson... Le pregunto a Shuhui y luego ella dice que lo uso bastante bien, así que estoy considerando..."
ham,Ard 6 como ese lor.
ham,¿Por qué no esperas al menos hasta el miércoles para ver si recibes tu...?
ham,Eh y lei...
spam,"RECORDATORIO DE O2: Para obtener 2,500 pesos de crédito de llamada gratis y detalles de excelentes ofertas, responda 2 este mensaje de texto con su nombre válido, número de casa y código postal."
spam,"Esta es la segunda vez que intentamos contactarte. Has ganado el premio de 7500 pesos. 2 reclamar es fácil, llama al 087187272008 AHORA1! Sólo 10p por minuto. "
ham,¿Iré a la explanada de casa?
ham,"Lástima, * estaba de humor para eso. Entonces... ¿alguna otra sugerencia?"
